path,filter,best_f1
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,median_9,0.8729963008631321
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,median_11,0.8768115942028986
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,median_13,0.8847926267281107
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,median_15,0.8850967007963595
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,median_17,0.8935672514619883
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,median_19,0.8868360277136259
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,median_21,0.8899297423887588
he_10_pic_run08012_ev32_unet_mean_gaussian_median_cygno,cygno_0,0.16733870967741934
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,unet_0,0.8988764044943822
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,mean_9,0.8384615384615384
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,mean_11,0.880648899188876
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,mean_13,0.887627695800227
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,mean_15,0.8888888888888891
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,mean_17,0.8871681415929202
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,mean_19,0.8923418423973363
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,mean_21,0.8883977900552488
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,gaussian_9,0.8423645320197045
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,gaussian_11,0.8821470245040839
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,gaussian_13,0.8888888888888891
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,gaussian_15,0.8960176991150444
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,gaussian_17,0.891304347826087
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,gaussian_19,0.8930131004366813
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,gaussian_21,0.8939890710382512
